U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop,T_rotor
0,0.287963101,-0.010706705,0.000598608,0.006699387,0.046094936,-0.000453713,5.21510706,10.09173809,-0.126311771,0.305756493,1,0,0,0,0,18.83895349,13.53370875,0.016357149,-0.004696893,0.003380713,0.022124402,-0.005221853,0.002494448,307806.4238,592042.7538,11902.08149,947833.0191,-0.101645604,53955.08822
5,0.282455775,-0.009006912,0.000159462,-0.005450307,0.05306631,-0.000383588,5.424203814,9.698394787,-0.453832959,0.348298897,1,0,0,0,0,17.67006921,13.02177405,0.016444233,-0.006018016,-0.009241809,0.021840751,-0.006025596,-0.009537353,317193.9193,570389.077,11902.13894,916285.0276,-13.14731064,53951.95933
10,0.271720965,-0.006625898,0.000638592,-0.016258281,0.057131274,0.000330571,5.467582124,8.682366844,0.517491032,0.395867619,1,0,0,0,0,15.55779161,11.77396461,0.016423243,-0.006602648,-0.019711961,0.021463354,-0.006695778,-0.020028448,321814.4326,522093.4747,11902.34095,890927.334,34.67306227,53935.55004
15,0.258678941,-0.004151986,0.001099184,-0.02448056,0.055965233,0.000805477,5.161576398,7.329881204,0.771908454,0.438445983,1,0,0,0,0,12.98611862,10.09952225,0.016359642,-0.006640987,-0.026635469,0.021035888,-0.006735752,-0.026397569,315309.8075,460531.2626,11902.63204,802410.8848,77.55657249,53911.00612
20,0.24580024,-0.002099434,0.001906462,-0.029670966,0.053282131,0.001445974,4.570685568,6.061697611,1.936876945,0.484256795,1,0,0,0,0,10.46182909,8.304663569,0.016235073,-0.005903029,-0.028658581,0.02066011,-0.006625843,-0.028617752,298740.1528,405157.267,11902.94593,748132.896,270.6559527,53872.57195
25,0.235283853,-0.000563356,0.002031508,-0.032709398,0.049674015,0.001489463,3.939790725,5.027242897,2.968915685,0.529180657,1,0,0,0,0,8.34654502,6.751882101,0.016134684,-0.005074229,-0.027722688,0.02033065,-0.006276128,-0.02751406,280809.9799,361398.7732,11903.24872,674815.4259,528.9506842,53828.36128
30,0.228071133,0.000447968,0.002132093,-0.034980233,0.045686483,0.001491981,3.402812225,4.230163376,3.763329716,0.57184845,1,0,0,0,0,6.761359029,5.580626371,0.016108006,-0.004177126,-0.025426775,0.020032463,-0.00606716,-0.025493723,266410.8229,328813.9859,11903.49564,639211.9577,809.4079761,53784.70662
35,0.223695417,0.001101886,0.002255951,-0.037293116,0.041590977,0.001496979,2.960762377,3.640207576,4.430469229,0.61200461,1,0,0,0,0,5.633043557,4.702145747,0.016047279,-0.003345174,-0.023068787,0.019857958,-0.005979868,-0.023485605,255031.0758,306677.0625,11903.66589,621541.3296,1112.861464,53744.16502
40,0.220950548,0.001611957,0.002444653,-0.03964399,0.03714979,0.001531096,2.606482991,3.193838721,5.027154281,0.651755429,1,0,0,0,0,4.722915765,3.965241206,0.015963031,-0.002538345,-0.020678027,0.019758765,-0.00601484,-0.021520574,246869.2194,291679.9285,11903.7149,618946.1699,1442.001513,53711.50484
45,0.219481203,0.002004758,0.002684071,-0.042116796,0.032331911,0.001592826,2.325950662,2.841569736,5.5856967,0.69094696,1,0,0,0,0,3.945047225,3.329573983,0.015906147,-0.001787243,-0.018315886,0.019674732,-0.006151205,-0.019676477,241827.3304,281240.3749,11903.62133,629590.1376,1800.044923,53691.59392
