U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
0,0.287954308154469,-0.0107195044304412,0.000859094655633435,0.0149217457738886,0.0348044130659918,-0.00221015116484891,5.21772608135215,10.0898192280188,0,0,0.197433508055258,0.207303023106487,-0.0174532925199433,0,18.8389820391775,13.5335184417112,0.01635892754495,-0.00301645328187356,0.0200991200531476,0.0221149246811152,-0.00376985347009461,0.0188271915523338,307975.640068699,591864.364306291,15372.1064460984,911873.829783583
1,0.287355668571297,-0.0104749783806324,0.000786599889898663,0.0124621153985531,0.0365091379795423,-0.00215606340865926,5.26385746119604,10.0561645074837,0,0,0.0654889907712532,-0.334927165168376,-0.0174532925199433,0,18.6934268988137,13.4962883737496,0.0163962029369087,-0.00329965946199894,0.0175565803272076,0.0220583445316998,-0.00396905633714259,0.016346349777834,310020.084039452,589308.922984109,15082.9802886602,911363.646401832
2,0.286455393361069,-0.010212617103694,0.000721646539277487,0.0100860433018542,0.0381436986233232,-0.00214457928927537,5.31444326409807,9.99234070164576,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,18.4956776153532,13.4204755574086,0.0164383266755344,-0.00362573730982488,0.0150603960638873,0.0219824652379144,-0.00421467003190973,0.0139111749030847,312357.236121364,585146.89234852,14792.9743436644,909541.209757192
3,0.285276754396924,-0.00992783239962345,0.000668615289360192,0.00776807334796544,0.0397154786853317,-0.0021546345803087,5.36647703470769,9.90008215619164,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,18.2499425073467,13.3082464212718,0.0164815677061729,-0.00396513673127174,0.0126082553511438,0.0218939107753442,-0.00447729790540217,0.0115195264096487,314849.264289823,579597.681723057,14518.417204547,906488.097148583
4,0.283831705171236,-0.00963140139357639,0.000631507685474868,0.00553124795916836,0.0411891699925841,-0.00219104223175985,5.41899335490848,9.77845608223545,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,17.9590847616281,13.160575334987,0.016527943984996,-0.00432436344880159,0.0102199832836699,0.0217903109836601,-0.00476301868824131,0.00919107002256596,317485.328275502,572589.380954361,14269.6582916414,902121.558153317
5,0.282137409870721,-0.00933066167904261,0.000613661821101443,0.00338668673147497,0.0425420272284331,-0.00225239350855772,5.47029466223314,9.62745511977425,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,17.6265385707161,12.9790583109266,0.0165784066821309,-0.00470122822992391,0.00791105374479102,0.0216712772984854,-0.00506886647803179,0.00694111104392647,320218.187357252,564133.400890646,14051.300623782,896405.762898461
6,0.280213299965669,-0.00903308707096262,0.000617601236005865,0.00134562152222039,0.043753283435187,-0.00233751858217673,5.51858778038005,9.44733111632566,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,17.2559382943693,12.7656780569608,0.0166342970686342,-0.00509385517124703,0.00569791124044189,0.0215361279638541,-0.00539172342703412,0.00478585203864978,323000.281478483,554250.653472938,13863.6772904304,889314.063268453
7,0.278081469008427,-0.00874622240141567,0.000644825326246617,-0.000580751472332586,0.0448046539666645,-0.00244552813625675,5.56207502794073,9.23865294778131,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,16.851160222667,12.5229136414253,0.0166974252698134,-0.00550076121562266,0.00359779374210533,0.0213838231590254,-0.00572833119684286,0.00274221871448098,325787.338085602,542973.4456966,13704.836774967,880834.493705058
8,0.275767092851659,-0.00847769466545652,0.000695576404626135,-0.00238154141919512,0.0456809378148466,-0.00257585719395804,5.59906653651283,9.00236906808178,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,16.4163847297448,12.2538429329577,0.0167701435086969,-0.00592096773147773,0.00162833382795893,0.021212905401119,-0.00607531879613207,0.000827467849755319,328542.637356481,530347.993676686,13571.3794579928,870976.550501207
9,0.273296943309952,-0.0082356106633623,0.000768672595091726,-0.00404641379365076,0.046370589072795,-0.00272841151682182,5.62808561093362,8.74013197890319,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,15.9560044438968,11.9618290689865,0.0168551780105583,-0.00635413100730119,-0.000192997828588149,0.0210216150312477,-0.00642926338053925,-0.000941387678877871,331238.589557956,516452.321120631,13459.8850126142,859790.667631167
10,0.270691391741935,-0.00803003793115343,0.000861755086913161,-0.00556523298564108,0.0468656415846368,-0.0029039894267529,5.64787665107353,8.45532999421305,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,15.4739641038217,11.6488131381412,0.0169546314330097,-0.00680059113952949,-0.00184913770609209,0.0208086124467161,-0.00678678972965502,-0.00254793102658714,333846.41012747,501456.023650346,13367.1447476299,847417.656154295
11,0.267969433410194,-0.00787205998056532,0.000971389924102778,-0.00692862103342382,0.0471618139525499,-0.0031037380786697,5.65756340931978,8.15190749938826,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,14.9742186342708,11.3163997692099,0.0170705602229615,-0.00726143466805615,-0.00332416969961183,0.0205725691363782,-0.00714447494682036,-0.00397693817801613,336346.970174096,485557.171674894,13290.3597778469,834036.457588724
12,0.265151095660477,-0.00777331008833929,0.00109326140461882,-0.0081285228116,0.0472587671087301,-0.00332877494467925,5.65677372662195,7.83378064874491,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,14.4609494606877,10.9663902390779,0.0172052690281391,-0.0077386064303704,-0.00460416917402322,0.0203119517411665,-0.00749882066303277,-0.00521511587466707,338738.170935903,468951.552861498,13227.1745749073,819840.760839749
13,0.262256977622541,-0.00774596542891503,0.00122253534742453,-0.00915858187990835,0.0471601165706895,-0.00357993289375496,5.64569579719482,7.50471405787752,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,13.9385118478727,10.6007099807498,0.0173612716605334,-0.00823499797708991,-0.00567795188180879,0.0200250415532794,-0.0078462470463442,-0.00625178202874751,341036.967924932,451827.612131816,13175.6420330156,805035.966341067
