U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
0,0.287954308154469,-0.0107195044304412,0.000859094655633435,0.0149217457738886,0.0348044130659918,-0.00221015116484891,5.21772608135215,10.0898192280188,0,0,-0.291416201163637,-0.523598775598299,-0.0174532925199433,0,18.8389820391775,13.5335184417112,0.01635892754495,-0.00301645328187356,0.0200991200531476,0.0221149246811152,-0.00376985347009461,0.0188271915523338,307975.640068699,591864.364306291,15372.1064460984,911873.829783583
5,0.282138078922027,-0.00932865163424427,0.000613719097299351,0.00338673464281712,0.0425418975269571,-0.00224992768497428,5.46998573456912,9.62775332446664,0,0,0.436332312998582,-0.519912085051139,-0.0174532925199433,0,17.6266063013242,12.9791672792239,0.0165775442612233,-0.00470114709696108,0.00791109958014518,0.0216721631337533,-0.0050690430387891,0.00694113532820831,320198.581893538,564163.138129181,14051.3006201112,896415.894673282
10,0.270691391741935,-0.00803003793115343,0.000861755086913161,-0.00556523298564108,0.0468656415846368,-0.0029039894267529,5.64787665107353,8.45532999421305,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,15.4739641038217,11.6488131381412,0.0169546314330097,-0.00680059113952949,-0.00184913770609209,0.0208086124467161,-0.00678678972965502,-0.00254793102658714,333846.41012747,501456.023650346,13367.1447476299,847417.656154295
15,0.256323242878485,-0.00795660576590509,0.00148396697741288,-0.0106941010236853,0.0464085707479379,-0.00416072792468388,5.59622578514093,6.8274008318723,0,0,0.436332312998582,-0.523598775598299,-0.0174532925199433,0,12.8838977850099,9.83013141896169,0.0177480557945222,-0.00930201096209978,-0.00717958813553806,0.0193646082704651,-0.00850537817473044,-0.00769422762340461,345523.586113077,416714.836755852,13101.4390937988,774455.391455264
20,0.242169850275263,-0.00885443757454451,0.00379302478959667,-0.0117684823956053,0.0420953431324172,-0.00410206162905553,5.1731589957328,5.35383403527502,0,0,0.436332312998582,-0.446215094789231,-0.0174532925199433,0.00340248107894361,10.3758640211952,7.89218199395309,0.01847983733061,-0.00887193751677071,-0.00756059247705168,0.0179406654967373,-0.013436497861694,-0.00766804939611298,342385.721167067,346687.817364179,13037.5538278195,701432.951811381
25,0.231365507159928,-0.00604375070863683,0.00208531029469188,-0.0141298520648154,0.0383021782508027,-0.00298600291154955,4.35422540807859,4.47743851367149,0,0,0.436332312998582,-0.170172059754226,-0.00922222276025848,0,8.27874654850376,6.38335337978908,0.0179368147049388,-0.0153527727612101,-0.0123255446708031,0.0178598038707243,-0.0135592077068645,-0.012435713449311,310812.691772856,316622.370567788,13090.7566217324,639977.618798523
30,0.223646974641187,-0.00534664174481019,0.00184912285257634,-0.0247265446421353,0.0423003354992421,-0.00265553511454135,3.76256594449094,3.71183726799254,0.0663043548118909,1,0.436332312998582,-0.101925993331916,0.0174532925199433,0,6.70929948056372,5.20492176984762,0.0178907110157409,-0.0204605307412179,-0.0338098151649961,0.0172822456313145,-0.0182163769822784,-0.0337378654238027,292422.098859796,287217.693152066,12940.4278565835,592580.219868445
35,0.21759922433445,-0.0121143148365455,0.0207996084053171,-0.0208399537758912,0.0350727073930562,-0.00445156932931789,3.2119564470671,3.20437020973103,0.0153477893720857,1,0.436332312998582,-0.279514593421821,0.016306882270171,0.0357189985849554,5.56399851844929,4.35617768398056,0.0175893695138709,0.0101805767548529,-0.0288301838611649,0.0170223237298179,-0.0551418303170248,-0.0276358525149895,273104.706332017,271915.615537138,13237.4266508909,558257.748520046
40,0.211306222626232,-0.0196812457222144,0.0338660910372684,-0.0160494094834823,0.0292772270964045,-0.00894729615717476,2.84317016859331,2.74601845239623,0,1,0.436332312998582,-0.33413231157083,0.0174532925199433,0.0605113914316293,4.66209800179786,3.58674792171201,0.0176714785942532,0.0280938533107639,-0.0248122874247145,0.0162865525968488,-0.0820343474099748,-0.0237474817671185,263938.803611165,256437.545758529,13682.8304384804,534059.179808175
45,0.206533388110963,-0.0136832160464012,0.0201845433808051,-0.00934965645477224,0.0255099594246138,-0.00644724434523359,2.50747944642918,2.42187978247438,0.129769301231194,1,0.436215421490871,-0.160719179572208,0.0174532925199433,0.0350403839416043,3.88689985819263,2.9474606924607,0.017264539300803,-0.00136756757403191,-0.0186865385188402,0.0161258383739452,-0.0634286069034432,-0.0188148524521711,254859.885437379,248418.624565203,14566.5555957578,517845.065598339
50,0.204672037595073,-0.0152208849053676,0.0216194427750786,0.000891196668890628,0.0103991024616759,-0.00626210925946361,2.24533765388373,2.1692818464578,0,1,0.436332312998582,-0.136158040540825,0.00520149190634882,0.0381669175480879,3.29102972602478,2.47311920823673,0.0171037245948802,-0.00211524138828397,-0.00237261141927921,0.015932569208949,-0.069034746563104,-0.00315017092967999,249707.063597831,244053.890090383,14346.7867988586,508107.740487073
55,0.195755481038921,-0.0198970012080038,0.0268111055381135,0.0132683965355012,0.0126007915614547,-0.00917652865783552,2.0376553007285,1.91967499278571,0.160638693975764,1,0.435655770514515,-0.13629774188678,0.00308116237413258,0.0483855674151248,2.8272572560532,2.09816413444151,0.0169263811591823,-0.00135784266035939,0.00594778826905611,0.0151729727663436,-0.0849501095093113,0.00408983962971188,247432.845089923,238912.124859989,16030.8267423543,502375.796692266
60,0.203659290959208,-0.0280539095513992,0.0370990345559534,0.00255882082822604,-0.00998838609549916,-0.0146345426557777,1.79521670578528,1.8228713750865,0.0214974300854415,1,0.436332312998582,-0.175232705449888,0.0171566598746457,0.0727253106366066,2.40929758284629,1.90296516313425,0.0164200911714009,0.0172472016147895,-0.00672486203420954,0.0156905305166437,-0.108028939117842,-0.006973359228385,242088.652081737,244018.403626852,15060.9372443602,501167.992952949
